id_envio;corredor_de_armazenagem;metodo_de_envio;ligações_do_cliente;avaliação_do_cliente;preço;qtd_itens;importancia;genero;desconto;peso_g;Chegou_no_tempo;Destino;DataEnvio;dataEntrega;avaliacaoEntrega
2162;F;PAC;4;2;270;2;low;M;65;3599;1;Alagoas;sábado, 21 de novembro de 2020;terça-feira, 24 de novembro de 2020;5
2163;A;PAC;6;2;195;3;medium;M;30;3462;1;Paraná;segunda-feira, 5 de fevereiro de 2024;quinta-feira, 8 de fevereiro de 2024;4
2164;B;PAC;4;5;193;4;low;M;33;2173;1;Tocantins;sexta-feira, 5 de abril de 2024;sábado, 6 de abril de 2024;4
2165;C;PAC;5;4;165;3;medium;F;48;1240;1;Rio Grande do Sul;terça-feira, 21 de abril de 2020;quinta-feira, 23 de abril de 2020;5
2166;F;sedex;3;1;177;2;low;M;38;1099;1;Piauí;sexta-feira, 14 de julho de 2023;sábado, 15 de julho de 2023;5
2167;D;sedex;3;4;244;3;low;F;46;2844;1;Mato Grosso;domingo, 26 de fevereiro de 2023;quinta-feira, 2 de março de 2023;4
2168;F;sedex;3;2;151;2;low;M;26;1793;1;Amazonas;quarta-feira, 11 de março de 2020;sexta-feira, 13 de março de 2020;5
2169;A;sedex;3;1;164;2;low;M;2;1104;1;Alagoas;terça-feira, 26 de novembro de 2024;quarta-feira, 27 de novembro de 2024;4
2170;B;sedex;5;1;165;3;low;F;37;1228;1;Piauí;terça-feira, 23 de fevereiro de 2021;sábado, 27 de fevereiro de 2021;4
2171;C;sedex;3;4;256;2;medium;M;55;2247;1;Amazonas;domingo, 2 de abril de 2023;sexta-feira, 7 de abril de 2023;5
2172;F;sedex;4;4;150;4;low;M;5;1263;1;Rio Grande do Norte;quinta-feira, 9 de janeiro de 2020;terça-feira, 14 de janeiro de 2020;5
2173;D;sedex;2;3;255;3;low;M;27;3484;1;Rio de Janeiro;terça-feira, 30 de julho de 2024;sábado, 3 de agosto de 2024;4
2174;F;sedex;4;3;268;3;medium;F;23;2996;1;Alagoas;segunda-feira, 24 de junho de 2024;sexta-feira, 28 de junho de 2024;4
2175;A;sedex;3;5;166;3;low;F;1;1366;1;Santa Catarina;quarta-feira, 7 de julho de 2021;sábado, 10 de julho de 2021;4
2176;B;sedex;3;5;230;3;low;F;49;3477;1;Mato Grosso;sexta-feira, 24 de abril de 2020;segunda-feira, 27 de abril de 2020;4
2177;C;sedex;4;3;163;3;low;F;45;1395;1;Sergipe;sábado, 3 de outubro de 2020;quarta-feira, 7 de outubro de 2020;5
2178;F;sedex;4;4;139;3;high;F;64;1415;1;Paraná;domingo, 6 de março de 2022;terça-feira, 8 de março de 2022;4
2179;D;sedex;3;5;161;3;medium;F;10;1978;1;Piauí;domingo, 2 de maio de 2021;segunda-feira, 3 de maio de 2021;5
2180;F;sedex;6;2;181;4;high;F;6;3003;1;Mato Grosso;domingo, 5 de julho de 2020;sexta-feira, 10 de julho de 2020;4
2181;A;sedex;4;1;242;3;high;M;47;3489;1;Amazonas;quarta-feira, 6 de janeiro de 2021;sábado, 9 de janeiro de 2021;5
2182;B;sedex;3;3;151;3;low;F;24;1139;1;Sergipe;quinta-feira, 28 de março de 2024;sábado, 30 de março de 2024;5
2183;C;sedex;3;4;167;3;medium;M;50;1068;1;#REF!;quinta-feira, 30 de abril de 2020;segunda-feira, 4 de maio de 2020;4
2184;F;sedex;3;2;257;3;low;F;25;2334;1;Minas Gerais;quarta-feira, 3 de abril de 2024;quinta-feira, 4 de abril de 2024;5
2185;D;sedex;3;2;204;2;medium;F;35;2090;1;#REF!;quarta-feira, 24 de agosto de 2022;sábado, 27 de agosto de 2022;4
2186;F;sedex;5;3;219;3;low;M;1;2027;1;São Paulo;domingo, 13 de junho de 2021;quarta-feira, 16 de junho de 2021;4
2187;A;sedex;3;4;202;3;medium;M;28;3707;1;Paraíba;quinta-feira, 26 de setembro de 2024;sábado, 28 de setembro de 2024;4
2188;B;Transportadora;4;5;155;2;medium;M;41;1367;1;Minas Gerais;sexta-feira, 6 de novembro de 2020;terça-feira, 10 de novembro de 2020;4
2189;C;Transportadora;3;3;183;3;high;F;6;3364;1;Rio Grande do Sul;quinta-feira, 10 de junho de 2021;domingo, 13 de junho de 2021;5
2190;F;Transportadora;5;1;184;3;low;F;19;2625;1;Piauí;segunda-feira, 12 de outubro de 2020;sexta-feira, 16 de outubro de 2020;5
2191;D;Transportadora;4;5;230;2;low;F;38;2890;1;Maranhão;quinta-feira, 17 de outubro de 2024;sábado, 19 de outubro de 2024;4
2192;F;Transportadora;4;2;139;4;low;F;41;1511;1;Rio Grande do Norte;segunda-feira, 10 de outubro de 2022;quinta-feira, 13 de outubro de 2022;5
2193;A;Transportadora;4;4;252;3;medium;F;7;2477;1;Sergipe;domingo, 18 de fevereiro de 2024;segunda-feira, 19 de fevereiro de 2024;4
2194;B;Transportadora;3;2;272;3;medium;F;40;3766;1;Paraíba;quinta-feira, 16 de maio de 2024;sexta-feira, 17 de maio de 2024;4
2195;C;Transportadora;3;2;134;3;low;F;20;1391;1;Rondônia;sábado, 25 de março de 2023;quinta-feira, 30 de março de 2023;5
2196;F;Transportadora;3;5;169;3;medium;M;13;1934;1;Maranhão;quarta-feira, 19 de agosto de 2020;sábado, 22 de agosto de 2020;5
2197;D;Transportadora;4;2;214;2;low;M;49;3416;1;Goiás;quarta-feira, 3 de novembro de 2021;sábado, 6 de novembro de 2021;4
2198;F;Transportadora;3;3;163;3;medium;F;65;1614;1;#REF!;sábado, 1 de abril de 2023;quinta-feira, 6 de abril de 2023;4
2199;A;Transportadora;4;2;150;3;low;F;48;1193;1;Maranhão;terça-feira, 13 de junho de 2023;sábado, 17 de junho de 2023;4
2200;B;Transportadora;5;5;216;2;high;M;33;3202;1;Rondônia;terça-feira, 15 de outubro de 2024;quinta-feira, 17 de outubro de 2024;5
2201;C;Transportadora;5;2;116;5;high;F;56;1130;1;Rio de Janeiro;domingo, 12 de janeiro de 2020;quinta-feira, 16 de janeiro de 2020;5
2202;F;Transportadora;3;4;144;2;low;F;33;1811;1;Paraná;terça-feira, 23 de abril de 2024;quarta-feira, 24 de abril de 2024;5
2203;D;Transportadora;5;3;266;3;low;F;19;2508;1;Minas Gerais;domingo, 17 de março de 2024;quarta-feira, 20 de março de 2024;4
2204;F;Transportadora;3;3;154;4;medium;F;62;1616;1;#REF!;segunda-feira, 1 de novembro de 2021;terça-feira, 2 de novembro de 2021;4
2205;A;Transportadora;4;3;255;5;low;M;18;3644;1;Distrito Federal;sexta-feira, 6 de maio de 2022;segunda-feira, 9 de maio de 2022;4
2206;B;Transportadora;6;2;229;3;medium;M;13;2322;1;#REF!;sábado, 5 de agosto de 2023;quinta-feira, 10 de agosto de 2023;4
2207;C;Transportadora;2;1;111;3;medium;M;16;1882;1;Paraná;terça-feira, 13 de dezembro de 2022;sábado, 17 de dezembro de 2022;4
2208;F;Transportadora;3;3;160;2;medium;F;32;1718;1;Rondônia;sexta-feira, 31 de maio de 2024;domingo, 2 de junho de 2024;4
2209;D;Transportadora;3;1;184;2;low;F;31;3191;1;Espírito Santo;terça-feira, 26 de novembro de 2024;sábado, 30 de novembro de 2024;5
2210;F;PAC;4;4;218;4;low;M;45;3234;1;Goiás;terça-feira, 3 de maio de 2022;sábado, 7 de maio de 2022;4
2211;A;PAC;5;1;137;2;low;M;52;1012;1;Rondônia;sábado, 19 de dezembro de 2020;domingo, 20 de dezembro de 2020;4
2212;B;PAC;4;2;204;3;medium;M;14;3829;1;#REF!;sábado, 6 de junho de 2020;segunda-feira, 8 de junho de 2020;4
2213;C;PAC;6;1;105;5;low;F;57;1784;1;Pará;segunda-feira, 24 de fevereiro de 2020;sexta-feira, 28 de fevereiro de 2020;4
2214;F;PAC;3;1;256;2;medium;F;63;3046;1;Roraima;terça-feira, 5 de março de 2024;quinta-feira, 7 de março de 2024;4
2215;D;PAC;4;2;182;2;medium;F;54;3261;1;Alagoas;sábado, 26 de novembro de 2022;terça-feira, 29 de novembro de 2022;4
2216;F;PAC;3;4;260;4;high;M;17;2666;1;Maranhão;quarta-feira, 2 de março de 2022;quinta-feira, 3 de março de 2022;5
2217;A;PAC;4;2;166;3;low;M;62;1944;1;Roraima;segunda-feira, 22 de julho de 2024;sábado, 27 de julho de 2024;5
2218;B;PAC;5;2;160;4;medium;M;43;1479;1;Roraima;domingo, 17 de julho de 2022;quarta-feira, 20 de julho de 2022;5
2219;C;PAC;4;2;243;3;medium;F;13;2850;1;Rio de Janeiro;sábado, 6 de fevereiro de 2021;quarta-feira, 10 de fevereiro de 2021;4
2220;F;PAC;6;5;240;4;medium;M;62;2400;1;Espírito Santo;quinta-feira, 26 de janeiro de 2023;domingo, 29 de janeiro de 2023;4
2221;D;PAC;6;1;229;6;low;M;35;3239;1;Rio de Janeiro;terça-feira, 31 de janeiro de 2023;domingo, 5 de fevereiro de 2023;5
2222;F;PAC;3;1;164;2;low;M;2;1304;1;Bahia;segunda-feira, 21 de agosto de 2023;sexta-feira, 25 de agosto de 2023;5
2223;A;PAC;3;4;234;3;medium;F;37;2111;1;Mato Grosso;quarta-feira, 1 de março de 2023;segunda-feira, 6 de março de 2023;5
2224;B;PAC;4;1;97;2;high;M;15;1836;1;Bahia;quarta-feira, 9 de fevereiro de 2022;sábado, 12 de fevereiro de 2022;4
2225;C;PAC;4;3;258;3;low;F;12;2017;1;Goiás;terça-feira, 21 de junho de 2022;domingo, 26 de junho de 2022;4
2226;F;PAC;3;1;147;2;medium;M;52;1934;1;Rio Grande do Sul;quarta-feira, 13 de abril de 2022;sábado, 16 de abril de 2022;4
2227;D;PAC;4;3;180;4;low;M;14;1686;1;Mato Grosso do Sul;quinta-feira, 3 de fevereiro de 2022;sexta-feira, 4 de fevereiro de 2022;4
2228;F;PAC;5;1;212;3;low;F;11;2073;1;Rio de Janeiro;terça-feira, 10 de novembro de 2020;quinta-feira, 12 de novembro de 2020;5
2229;A;PAC;3;4;198;2;medium;M;19;2373;1;Minas Gerais;segunda-feira, 29 de junho de 2020;sábado, 4 de julho de 2020;5
2230;B;PAC;3;1;239;3;low;F;63;2154;1;Acre;sexta-feira, 25 de junho de 2021;quarta-feira, 30 de junho de 2021;4
2231;C;PAC;4;3;158;2;low;M;46;1374;1;Amazonas;quarta-feira, 25 de agosto de 2021;quinta-feira, 26 de agosto de 2021;4
2232;F;PAC;4;3;218;3;high;F;57;3311;1;Paraná;terça-feira, 18 de janeiro de 2022;quarta-feira, 19 de janeiro de 2022;4
2233;D;PAC;4;4;156;3;low;M;20;1523;1;Pernambuco;sábado, 19 de agosto de 2023;quinta-feira, 24 de agosto de 2023;5
2234;F;PAC;3;4;235;3;low;M;52;3447;1;Santa Catarina;domingo, 20 de outubro de 2024;quarta-feira, 23 de outubro de 2024;5
2235;A;PAC;4;5;168;3;low;F;4;1363;1;Amazonas;sábado, 10 de fevereiro de 2024;segunda-feira, 12 de fevereiro de 2024;4
2236;B;PAC;3;1;178;3;high;F;36;1297;1;Distrito Federal;domingo, 16 de junho de 2024;quinta-feira, 20 de junho de 2024;4
2237;C;PAC;4;2;275;3;medium;M;26;2449;1;Acre;terça-feira, 28 de julho de 2020;sexta-feira, 31 de julho de 2020;5
2238;F;PAC;3;4;139;2;low;M;45;1192;1;Rio Grande do Sul;sábado, 27 de fevereiro de 2021;quarta-feira, 3 de março de 2021;5
2239;D;PAC;2;5;236;3;medium;F;13;2171;1;Distrito Federal;domingo, 11 de setembro de 2022;quarta-feira, 14 de setembro de 2022;4
2240;F;PAC;3;4;155;2;low;F;37;1780;1;Rio de Janeiro;terça-feira, 23 de março de 2021;quinta-feira, 25 de março de 2021;4
2241;A;PAC;3;3;168;3;medium;M;11;1008;1;#REF!;quinta-feira, 20 de janeiro de 2022;sexta-feira, 21 de janeiro de 2022;4
2242;B;PAC;4;1;151;2;low;M;42;1367;1;São Paulo;terça-feira, 25 de maio de 2021;domingo, 30 de maio de 2021;4
2243;C;PAC;3;4;113;4;low;F;56;1154;1;Paraíba;quinta-feira, 20 de maio de 2021;terça-feira, 25 de maio de 2021;4
2244;F;PAC;4;3;133;3;medium;F;50;1861;1;Rio Grande do Sul;segunda-feira, 10 de maio de 2021;sexta-feira, 14 de maio de 2021;4
2245;D;PAC;5;4;163;4;medium;M;57;1613;1;Minas Gerais;terça-feira, 23 de maio de 2023;sexta-feira, 26 de maio de 2023;4
2246;F;PAC;5;3;206;2;medium;F;59;3278;1;Amazonas;quarta-feira, 2 de agosto de 2023;segunda-feira, 7 de agosto de 2023;5
2247;A;PAC;3;2;177;2;medium;F;23;1929;1;Alagoas;segunda-feira, 25 de outubro de 2021;sexta-feira, 29 de outubro de 2021;4
2248;B;PAC;3;2;206;2;low;M;3;2261;1;Pará;terça-feira, 25 de outubro de 2022;quinta-feira, 27 de outubro de 2022;4
2249;C;PAC;5;1;189;3;medium;M;13;3492;1;#REF!;sábado, 4 de abril de 2020;segunda-feira, 6 de abril de 2020;4
2250;F;PAC;3;4;270;2;low;M;39;3690;1;Pernambuco;segunda-feira, 13 de novembro de 2023;sexta-feira, 17 de novembro de 2023;4
2251;D;PAC;4;1;238;3;low;F;33;2013;1;Rio Grande do Sul;terça-feira, 28 de fevereiro de 2023;quinta-feira, 2 de março de 2023;5
2252;F;PAC;5;1;143;2;low;M;46;1387;1;Goiás;quarta-feira, 12 de abril de 2023;segunda-feira, 17 de abril de 2023;5
2253;A;PAC;4;1;173;2;medium;M;53;1251;1;Minas Gerais;terça-feira, 25 de fevereiro de 2020;quarta-feira, 26 de fevereiro de 2020;4
2254;B;PAC;3;5;134;3;medium;M;38;1169;1;Minas Gerais;quarta-feira, 2 de dezembro de 2020;sábado, 5 de dezembro de 2020;5
2255;C;PAC;4;4;176;3;high;M;34;1283;1;Goiás;terça-feira, 14 de fevereiro de 2023;domingo, 19 de fevereiro de 2023;5
2256;F;PAC;4;3;160;2;medium;F;38;1961;1;Ceará;quinta-feira, 8 de abril de 2021;domingo, 11 de abril de 2021;5
2257;D;PAC;3;4;230;3;high;F;22;3546;1;Pernambuco;quarta-feira, 15 de novembro de 2023;sexta-feira, 17 de novembro de 2023;4
2258;F;PAC;4;5;178;3;low;F;5;1012;1;Espírito Santo;sábado, 4 de novembro de 2023;quinta-feira, 9 de novembro de 2023;5
2259;A;PAC;3;2;256;4;low;F;18;2699;1;Bahia;terça-feira, 30 de maio de 2023;sábado, 3 de junho de 2023;4
2260;B;PAC;3;4;256;4;low;M;11;3030;1;Tocantins;domingo, 2 de maio de 2021;sexta-feira, 7 de maio de 2021;5
2261;C;PAC;3;2;208;4;medium;M;52;2900;1;Pernambuco;segunda-feira, 30 de maio de 2022;terça-feira, 31 de maio de 2022;5
2262;F;PAC;4;3;119;3;low;F;40;1233;1;Rio Grande do Norte;sexta-feira, 17 de janeiro de 2020;quarta-feira, 22 de janeiro de 2020;4
2263;D;PAC;3;3;114;6;low;F;26;1825;1;Distrito Federal;quinta-feira, 26 de maio de 2022;terça-feira, 31 de maio de 2022;5
2264;F;PAC;3;5;225;3;low;F;1;2864;1;Bahia;sábado, 17 de julho de 2021;terça-feira, 20 de julho de 2021;4
2265;A;PAC;4;5;155;4;high;F;48;1972;1;Mato Grosso do Sul;terça-feira, 26 de outubro de 2021;domingo, 31 de outubro de 2021;4
2266;B;PAC;4;4;223;3;medium;F;51;3895;1;Santa Catarina;segunda-feira, 20 de dezembro de 2021;quarta-feira, 22 de dezembro de 2021;4
2267;C;PAC;5;3;194;3;medium;F;6;2736;1;Ceará;domingo, 13 de março de 2022;quinta-feira, 17 de março de 2022;5
2268;F;PAC;5;4;281;4;medium;F;40;3381;1;Bahia;segunda-feira, 18 de março de 2024;quinta-feira, 21 de março de 2024;4
2269;D;PAC;4;1;132;4;medium;F;10;1343;1;Acre;quinta-feira, 26 de maio de 2022;segunda-feira, 30 de maio de 2022;4
2270;F;PAC;4;1;229;3;medium;F;53;3423;1;Paraíba;quinta-feira, 13 de julho de 2023;sábado, 15 de julho de 2023;4
2271;A;PAC;4;2;251;3;low;F;10;3517;1;Mato Grosso do Sul;sábado, 18 de março de 2023;domingo, 19 de março de 2023;4
2272;B;PAC;4;1;113;3;low;F;60;1200;1;Acre;sexta-feira, 25 de novembro de 2022;segunda-feira, 28 de novembro de 2022;5
2273;C;PAC;5;5;234;6;low;F;52;2615;1;Bahia;quinta-feira, 7 de março de 2024;sexta-feira, 8 de março de 2024;4
2274;F;PAC;3;3;181;2;medium;M;58;3719;1;Paraíba;sábado, 22 de fevereiro de 2020;terça-feira, 25 de fevereiro de 2020;4
2275;D;PAC;5;2;157;2;low;M;32;1497;1;Distrito Federal;quarta-feira, 30 de junho de 2021;segunda-feira, 5 de julho de 2021;5
2276;F;PAC;3;1;155;3;low;M;49;1203;1;#REF!;domingo, 14 de novembro de 2021;quarta-feira, 17 de novembro de 2021;5
2277;A;PAC;3;4;209;2;low;M;62;2935;1;Alagoas;quarta-feira, 10 de janeiro de 2024;sábado, 13 de janeiro de 2024;4
2278;B;PAC;4;3;264;3;low;F;39;2213;1;Rio Grande do Sul;sexta-feira, 16 de julho de 2021;terça-feira, 20 de julho de 2021;4
2279;C;PAC;3;1;268;3;low;F;47;2479;1;Acre;quarta-feira, 28 de fevereiro de 2024;quinta-feira, 29 de fevereiro de 2024;4
2280;F;PAC;6;1;224;3;medium;M;64;2705;1;Ceará;sábado, 3 de abril de 2021;quarta-feira, 7 de abril de 2021;5
2281;D;PAC;4;4;223;10;low;M;24;3271;1;Espírito Santo;quinta-feira, 4 de agosto de 2022;terça-feira, 9 de agosto de 2022;5
2282;F;PAC;3;2;191;3;high;F;42;2374;1;Goiás;segunda-feira, 11 de outubro de 2021;terça-feira, 12 de outubro de 2021;4
2283;A;PAC;4;1;184;3;high;F;47;3081;1;Alagoas;quinta-feira, 16 de março de 2023;terça-feira, 21 de março de 2023;4
2284;B;PAC;6;5;174;3;medium;F;32;1921;1;Mato Grosso;domingo, 14 de fevereiro de 2021;quarta-feira, 17 de fevereiro de 2021;5
2285;C;PAC;6;3;134;8;high;F;12;1371;1;Distrito Federal;terça-feira, 10 de agosto de 2021;sexta-feira, 13 de agosto de 2021;5
2286;F;PAC;4;1;135;2;high;F;25;1009;1;Sergipe;quinta-feira, 16 de junho de 2022;segunda-feira, 20 de junho de 2022;4
2287;D;PAC;5;4;234;2;high;F;61;3084;1;Pernambuco;sexta-feira, 25 de fevereiro de 2022;sábado, 26 de fevereiro de 2022;5
2288;F;PAC;3;1;215;6;high;M;5;3432;1;Acre;segunda-feira, 6 de dezembro de 2021;sexta-feira, 10 de dezembro de 2021;4
2289;A;PAC;5;4;187;2;medium;F;10;3549;1;Mato Grosso do Sul;sexta-feira, 6 de agosto de 2021;quarta-feira, 11 de agosto de 2021;5
2290;B;PAC;3;1;238;2;medium;F;50;3438;1;Sergipe;quarta-feira, 18 de maio de 2022;segunda-feira, 23 de maio de 2022;4
2291;C;PAC;4;2;273;4;low;F;26;3223;1;Amazonas;sexta-feira, 23 de agosto de 2024;quarta-feira, 28 de agosto de 2024;5
2292;F;PAC;5;4;192;3;medium;M;46;3709;1;Acre;sábado, 9 de setembro de 2023;terça-feira, 12 de setembro de 2023;4
2293;D;PAC;3;5;268;4;high;M;5;3446;1;Goiás;terça-feira, 23 de agosto de 2022;sexta-feira, 26 de agosto de 2022;4
2294;F;PAC;3;5;225;3;low;F;12;2721;1;Paraná;sábado, 27 de julho de 2024;quarta-feira, 31 de julho de 2024;5
2295;A;PAC;4;5;155;4;high;F;54;1408;1;Rio Grande do Norte;segunda-feira, 28 de outubro de 2024;quinta-feira, 31 de outubro de 2024;4
2296;B;PAC;4;2;223;3;medium;F;56;3158;1;Minas Gerais;segunda-feira, 9 de outubro de 2023;sexta-feira, 13 de outubro de 2023;5
2297;C;PAC;5;1;194;3;medium;F;32;3003;1;Goiás;terça-feira, 4 de janeiro de 2022;sexta-feira, 7 de janeiro de 2022;4
2298;F;PAC;5;4;281;4;medium;M;56;3709;1;Minas Gerais;segunda-feira, 25 de março de 2024;sexta-feira, 29 de março de 2024;5
2299;D;PAC;4;5;132;4;medium;F;28;1715;1;Santa Catarina;quarta-feira, 3 de janeiro de 2024;segunda-feira, 8 de janeiro de 2024;5
2300;F;PAC;4;1;229;3;medium;F;20;2891;1;Rio Grande do Sul;segunda-feira, 12 de junho de 2023;quarta-feira, 14 de junho de 2023;4
2301;A;PAC;4;1;251;3;low;F;33;2502;1;Rio de Janeiro;sábado, 20 de março de 2021;segunda-feira, 22 de março de 2021;4
2302;B;PAC;4;5;113;3;low;F;52;1741;1;Mato Grosso;quinta-feira, 21 de setembro de 2023;sexta-feira, 22 de setembro de 2023;4
2303;C;sedex;5;2;234;6;low;F;58;2448;1;Minas Gerais;terça-feira, 15 de outubro de 2024;quinta-feira, 17 de outubro de 2024;5
2304;F;sedex;3;3;181;2;medium;F;52;3236;1;Maranhão;quarta-feira, 28 de julho de 2021;sábado, 31 de julho de 2021;4
2305;D;sedex;5;2;157;2;low;M;58;1654;1;Sergipe;quinta-feira, 11 de novembro de 2021;segunda-feira, 15 de novembro de 2021;5
2306;F;sedex;3;3;155;3;low;M;20;1830;1;Paraná;quinta-feira, 5 de outubro de 2023;sexta-feira, 6 de outubro de 2023;5
2307;A;sedex;3;5;209;2;low;M;33;2603;1;Bahia;sexta-feira, 24 de setembro de 2021;segunda-feira, 27 de setembro de 2021;5
2308;B;sedex;4;1;264;3;low;M;13;3015;1;Rio de Janeiro;domingo, 27 de junho de 2021;terça-feira, 29 de junho de 2021;4
2309;C;sedex;3;2;268;3;low;M;30;2867;1;Paraíba;segunda-feira, 31 de outubro de 2022;terça-feira, 1 de novembro de 2022;5
2310;F;sedex;6;2;224;3;medium;F;26;3247;1;Santa Catarina;quarta-feira, 22 de março de 2023;sábado, 25 de março de 2023;4
2311;D;sedex;4;3;223;10;low;F;21;2943;1;Amazonas;sábado, 22 de fevereiro de 2020;segunda-feira, 24 de fevereiro de 2020;5
2312;F;sedex;3;5;191;3;high;F;17;2235;1;Alagoas;sábado, 1 de julho de 2023;domingo, 2 de julho de 2023;5
2313;A;sedex;4;4;184;3;high;F;27;3967;1;Goiás;terça-feira, 8 de março de 2022;sexta-feira, 11 de março de 2022;4
2314;B;sedex;6;4;174;3;medium;F;14;1651;1;Mato Grosso do Sul;sábado, 3 de junho de 2023;segunda-feira, 5 de junho de 2023;4
2315;C;sedex;6;2;134;8;high;M;42;1054;1;Distrito Federal;sábado, 27 de abril de 2024;quarta-feira, 1 de maio de 2024;4
2316;F;sedex;4;5;135;2;high;F;22;1195;1;Distrito Federal;quarta-feira, 20 de novembro de 2024;sábado, 23 de novembro de 2024;4
2317;D;sedex;5;5;234;2;high;M;50;3914;1;São Paulo;domingo, 29 de dezembro de 2024;quarta-feira, 1 de janeiro de 2025;4
2318;F;sedex;3;1;215;6;high;M;42;3715;1;Pará;terça-feira, 19 de novembro de 2024;sexta-feira, 22 de novembro de 2024;4
2319;A;sedex;5;2;187;2;medium;F;29;2863;1;#REF!;sexta-feira, 12 de fevereiro de 2021;sábado, 13 de fevereiro de 2021;5
2320;B;sedex;3;2;238;2;medium;F;32;3274;1;Minas Gerais;sexta-feira, 2 de junho de 2023;terça-feira, 6 de junho de 2023;4
2321;C;sedex;4;1;273;4;low;F;54;2611;1;São Paulo;domingo, 6 de junho de 2021;terça-feira, 8 de junho de 2021;4
2322;F;sedex;5;5;192;3;medium;F;37;2197;1;Santa Catarina;quarta-feira, 6 de julho de 2022;sexta-feira, 8 de julho de 2022;5
2323;D;sedex;3;5;268;4;high;M;19;2893;1;Paraná;sábado, 15 de abril de 2023;domingo, 16 de abril de 2023;4
2324;F;sedex;3;4;164;3;low;M;5;1408;1;Pará;sexta-feira, 10 de abril de 2020;quarta-feira, 15 de abril de 2020;4
2325;A;Transportadora;2;2;255;3;low;M;59;1514;1;Sergipe;terça-feira, 26 de abril de 2022;quarta-feira, 27 de abril de 2022;5
2326;B;Transportadora;4;4;141;2;low;F;30;1130;1;Amazonas;sábado, 6 de julho de 2024;quinta-feira, 11 de julho de 2024;5
2327;C;Transportadora;2;5;202;3;low;M;50;2587;1;Amazonas;segunda-feira, 25 de julho de 2022;terça-feira, 26 de julho de 2022;5
2328;F;Transportadora;4;4;282;6;medium;F;52;3009;1;Tocantins;domingo, 30 de abril de 2023;quinta-feira, 4 de maio de 2023;5
2329;D;Transportadora;6;4;190;3;low;M;7;3175;1;Paraíba;quarta-feira, 7 de setembro de 2022;domingo, 11 de setembro de 2022;4
2330;F;Transportadora;4;2;192;4;low;F;61;2256;1;Alagoas;quarta-feira, 27 de setembro de 2023;quinta-feira, 28 de setembro de 2023;4
2331;A;Transportadora;3;4;179;2;low;M;51;1041;1;Rio Grande do Norte;quarta-feira, 20 de novembro de 2024;sábado, 23 de novembro de 2024;5
2332;B;Transportadora;4;3;238;2;medium;M;43;2200;1;#REF!;quarta-feira, 23 de agosto de 2023;quinta-feira, 24 de agosto de 2023;5
2333;C;Transportadora;3;2;181;4;low;F;18;3696;1;Tocantins;quarta-feira, 9 de fevereiro de 2022;quinta-feira, 10 de fevereiro de 2022;5
2334;F;Transportadora;5;2;128;5;medium;F;45;1707;1;Espírito Santo;sábado, 16 de janeiro de 2021;domingo, 17 de janeiro de 2021;4
2335;D;Transportadora;5;1;285;5;low;M;51;2063;1;Minas Gerais;segunda-feira, 9 de novembro de 2020;sábado, 14 de novembro de 2020;5
2336;F;Transportadora;5;5;273;3;medium;F;18;2415;1;Pernambuco;sexta-feira, 22 de novembro de 2024;quarta-feira, 27 de novembro de 2024;5
2337;A;Transportadora;2;2;242;6;low;F;63;3144;1;São Paulo;domingo, 17 de março de 2024;sexta-feira, 22 de março de 2024;5
2338;B;Transportadora;3;4;226;3;medium;F;22;3593;1;Mato Grosso;terça-feira, 1 de novembro de 2022;domingo, 6 de novembro de 2022;5
2339;C;Transportadora;2;5;255;4;low;F;36;2093;1;Acre;domingo, 24 de maio de 2020;segunda-feira, 25 de maio de 2020;4
2340;F;Transportadora;5;1;198;2;medium;F;37;3025;1;Rio Grande do Norte;segunda-feira, 13 de dezembro de 2021;sábado, 18 de dezembro de 2021;4
2341;D;Transportadora;5;4;263;3;medium;M;59;3978;1;Espírito Santo;quinta-feira, 10 de dezembro de 2020;sexta-feira, 11 de dezembro de 2020;5
2342;F;Transportadora;3;5;186;2;low;F;39;2197;1;Rio Grande do Norte;domingo, 30 de agosto de 2020;terça-feira, 1 de setembro de 2020;4
2343;A;Transportadora;5;2;260;3;low;F;22;2935;1;Ceará;quinta-feira, 7 de abril de 2022;domingo, 10 de abril de 2022;4
2344;B;Transportadora;4;2;167;2;low;F;5;1169;1;#REF!;segunda-feira, 16 de dezembro de 2024;quinta-feira, 19 de dezembro de 2024;5
2345;C;Transportadora;4;3;210;3;low;F;46;2344;1;Piauí;sábado, 28 de março de 2020;quinta-feira, 2 de abril de 2020;5
2346;F;Transportadora;4;5;216;3;low;F;20;3549;1;Paraná;segunda-feira, 24 de fevereiro de 2020;sábado, 29 de fevereiro de 2020;4
2347;D;PAC;3;2;273;3;low;F;12;2154;1;Sergipe;segunda-feira, 25 de outubro de 2021;sábado, 30 de outubro de 2021;5
2348;F;PAC;5;1;153;2;low;F;55;1414;1;Distrito Federal;domingo, 13 de junho de 2021;sexta-feira, 18 de junho de 2021;4
2349;A;PAC;3;2;183;3;medium;F;44;3809;1;Paraíba;domingo, 8 de novembro de 2020;quarta-feira, 11 de novembro de 2020;4
2350;B;PAC;4;1;224;3;medium;F;36;3499;1;Paraná;domingo, 12 de abril de 2020;quinta-feira, 16 de abril de 2020;4
2351;C;PAC;5;1;170;3;high;M;58;1651;1;Tocantins;sexta-feira, 8 de maio de 2020;terça-feira, 12 de maio de 2020;5
